"","sex","joint","reachheight","deviation","moment","Fstat","numdf","dendf","adjrsquared","residualstderror","slope_coefficient","slope_standarderror","slope_tvalue","slope_pvalue"
"63","M","Elbow",140,-1,"Norm_B_Moment",254.206927238669,1,2998,0.0778569546476116,4.37287041056444,-0.745343161707469,0.0467479510659815,-15.9438680137119,5.38054290940109e-55
"64","M","Elbow",140,1,"Norm_RE_Moment",7.36363078539622,1,2998,0.00211742456726727,5.27527404590814,-0.15303367287341,0.0563950517175114,-2.71360107337026,0.00669369397918737
"65","M","Elbow",140,1,"Norm_RS_Moment",0.781872434957812,1,2998,-7.27387233621091e-05,3.70484838668452,0.0350214694661319,0.0396064952369017,0.884235508763272,0.376639998976874
"66","M","Elbow",140,1,"Norm_B_Moment",0.701696417779437,1,2998,-9.94775781055779e-05,0.106655254242294,-0.000955108826397191,0.00114019262821124,-0.837673216582352,0.40228103293394
"67","M","Shoulder",140,-1,"Norm_RE_Moment",31.0192620238547,1,2998,0.00991055501040206,4.82536107836486,-0.287303899771226,0.0515852797791862,-5.5694938750172,2.78081257445571e-08
"68","M","Shoulder",140,-1,"Norm_RS_Moment",7.89326285479277,1,2998,0.00229324937780595,3.78718276817381,-0.113747149170014,0.0404866867988583,-2.80949512453615,0.00499409427165651
"69","M","Shoulder",140,-1,"Norm_B_Moment",340.489466289252,1,2998,0.101689542446451,6.05471633996087,1.19437750524094,0.0647276403378151,18.452356659496,4.23732233462253e-72
"70","M","Shoulder",140,1,"Norm_RE_Moment",3.86677780076674,1,2998,0.000954998343686397,5.02569126299183,-0.105649242471835,0.0537268995366244,-1.96641241878877,0.0493431117587021
"71","M","Shoulder",140,1,"Norm_RS_Moment",0.0100407315827459,1,2998,-0.000330205454607269,3.66829435800644,-0.00392955009809568,0.0392157162328455,-0.10020345095226,0.920189506290845
"72","M","Shoulder",140,1,"Norm_B_Moment",2327.79809622661,1,2998,0.43689190881554,1.76605657158098,0.910905320850841,0.0188799389043332,48.2472599867246,0
"73","F","Wrist",80,-1,"Norm_RE_Moment",1892.96560997217,1,2998,0.386828647111043,1.67347147324953,0.778369211656078,0.0178901625698272,43.5082246244562,5.45448473008736e-321
"74","F","Wrist",80,-1,"Norm_RS_Moment",388.119721037296,1,2998,0.114325467771325,1.69819287875696,0.357656270954601,0.0181544455113366,19.7007543266062,2.3965966682255e-81
"75","F","Wrist",80,-1,"Norm_B_Moment",32.2557449492624,1,2998,0.0103145567833207,14.7282486786258,0.894232850574753,0.157451601321781,5.6794141378545,1.48096418251088e-08
"76","F","Wrist",80,1,"Norm_RE_Moment",1867.41159535593,1,2998,0.383608161154842,1.72550823673018,0.797137124716026,0.0184464589711449,43.2135580038942,1.41106729462327e-317
"77","F","Wrist",80,1,"Norm_RS_Moment",517.908791299848,1,2998,0.147019966097797,1.532610690941,0.372867444056387,0.016384297465166,22.7576095251643,6.89913478940329e-106
"78","F","Wrist",80,1,"Norm_B_Moment",28.139270237549,1,2998,0.00896828196390931,15.005687732199,0.850958328525722,0.160417549562301,5.3046460991803,1.21104620992162e-07
"79","F","Elbow",80,-1,"Norm_RE_Moment",0.000230300967200862,1,2998,-0.000333478859984027,1.69895784310905,-0.000275629982241897,0.018162623324247,-0.0151756702388874,0.987893041547814
"80","F","Elbow",80,-1,"Norm_RS_Moment",160.71319702714,1,2998,0.050562740921669,1.57031974314655,0.212818723876796,0.0167874241901177,12.6772708824548,6.49212081537729e-36
"81","F","Elbow",80,-1,"Norm_B_Moment",0.0624135795616341,1,2998,-0.000312730787788595,14.8930292812176,-0.0397757669504947,0.159213180061451,-0.249827099334003,0.802738178165249
"82","F","Elbow",80,1,"Norm_RE_Moment",4.84727909214579e-24,1,2998,-0.000333555703802446,1.69852718065137,4.3439747150463e-16,0.0181580193489157,2.39231748329737e-14,0.999999999999981
"83","F","Elbow",80,1,"Norm_RS_Moment",223.259836668646,1,2998,0.0689977983578319,1.61702545230358,0.258296267625265,0.0172867292234661,14.9418819654233,9.57575889319587e-49
"84","F","Elbow",80,1,"Norm_B_Moment",0.179331252319469,1,2998,-0.000273722368480778,14.8525206496241,0.0672394463793528,0.158780124573938,0.423475208624376,0.671978960021515
"85","F","Shoulder",80,-1,"Norm_RE_Moment",0.00032676410684296,1,2998,-0.000333446673427051,1.69899906001063,-0.000328326762994368,0.0181630639514592,-0.0180766176825574,0.985578934159718
"86","F","Shoulder",80,-1,"Norm_RS_Moment",151.879482913157,1,2998,0.0479000811718729,1.58105525683827,0.208301586129139,0.0169021916589904,12.3239394234618,4.43682226619912e-34
"87","F","Shoulder",80,-1,"Norm_B_Moment",0.497673681161873,1,2998,-0.000167525999185125,14.9092465172561,0.112440820550775,0.159386549607212,0.70545990755099,0.480578881499389
"88","F","Shoulder",80,1,"Norm_RE_Moment",4.88848149762891e-24,1,2998,-0.000333555703802446,1.69852718065137,5.64954088623508e-16,0.0181580193489157,3.11132000559986e-14,0.999999999999975
"89","F","Shoulder",80,1,"Norm_RS_Moment",193.912428424813,1,2998,0.0604378825392822,1.6007560122247,0.23829994260093,0.0171128015930381,13.9252442860014,9.28348621069339e-43
"90","F","Shoulder",80,1,"Norm_B_Moment",1.23202156522822,1,2998,7.73603254300426e-05,14.8639452589053,0.176375892989223,0.158902258784532,1.1099646684594,0.267103271716208
"91","F","Wrist",100,-1,"Norm_RE_Moment",671.538883797226,1,2998,0.182731101926178,2.83855760880234,0.786374221827532,0.0303454572707388,25.9140672955292,8.90422084258507e-134
"92","F","Wrist",100,-1,"Norm_RS_Moment",6.55538452430385,1,2998,0.00184898722550386,6.19396846194695,-0.169536826293795,0.0662163081402526,-2.56034851617973,0.0105053116566329
"93","F","Wrist",100,-1,"Norm_B_Moment",2.06808199674862,1,2998,0.000356019252749085,0.594381464343788,0.00913787279402102,0.00635420513320979,1.43808275031327,0.150514949319871
"94","F","Wrist",100,1,"Norm_RE_Moment",741.892504538783,1,2998,0.198105294106616,2.7475809233203,0.800049683126372,0.0293728755928587,27.2377037310193,3.7064239240035e-146
"95","F","Wrist",100,1,"Norm_RS_Moment",10.344933291575,1,2998,0.00310633703873531,6.52672124513441,-0.224416551869421,0.0697735850236329,-3.21635403703866,0.00131211509140634
"96","F","Wrist",100,1,"Norm_B_Moment",2.91033051406107,1,2998,0.000636583670840407,2.20568503659787,0.0402263498930372,0.0235797648859519,1.70596908355956,0.0881174117602049
"97","F","Elbow",100,-1,"Norm_RE_Moment",144.824209755753,1,2998,0.0457627280931919,2.83677968049417,-0.364957392175589,0.0303264504176318,-12.0342930725385,1.30790749503475e-32
"98","F","Elbow",100,-1,"Norm_RS_Moment",1.91606155045328,1,2998,0.000305362394033226,6.41773384925544,0.0949691178468861,0.068608460752616,1.38421875093977,0.166394509506666
"99","F","Elbow",100,-1,"Norm_B_Moment",0.293868435130536,1,2998,-0.000235511125945109,1.01166811156044,-0.00586287324166278,0.0108151870359535,-0.542096333810271,0.587792432500386
"100","F","Elbow",100,1,"Norm_RE_Moment",30.0334831024073,1,2998,0.00958823053457813,2.54377359299481,-0.149031227676407,0.0271940835843128,-5.4802812977444,4.59851211903795e-08
"101","F","Elbow",100,1,"Norm_RS_Moment",29.4597579394773,1,2998,0.00940054045800021,6.11868256827978,0.355032804853994,0.065411468082654,5.4276843993988,6.16424833592493e-08
"102","F","Elbow",100,1,"Norm_B_Moment",1186.09099298237,1,2998,0.28323738536519,12.8155825353716,-4.71838450919819,0.137004340169383,-34.4396717897015,2.67544246263589e-219
"103","F","Shoulder",100,-1,"Norm_RE_Moment",469.772749137939,1,2998,0.135179777640987,2.96055141062915,-0.685981637804305,0.0316496258700128,-21.6742416046774,6.78215987461874e-97
"104","F","Shoulder",100,-1,"Norm_RS_Moment",6.74655693613576,1,2998,0.00191249305964614,6.39429735515525,0.177553769501322,0.0683579140918443,2.59741350888449,0.00943881208307414
"105","F","Shoulder",100,-1,"Norm_B_Moment",85.6450503702295,1,2998,0.0274496736776066,0.981982196496224,0.0971517710498435,0.0104978312548588,9.25446110641932,3.97964381745024e-20
"106","F","Shoulder",100,1,"Norm_RE_Moment",106.126947474608,1,2998,0.0338668325276245,2.31580401589306,-0.255041358254654,0.0247569862925343,-10.3017934105964,1.76151785796649e-24
"107","F","Shoulder",100,1,"Norm_RS_Moment",0.451682387752018,1,2998,-0.000182866916104807,6.37534616815764,0.045805362330035,0.0681553173809368,0.672073201185721,0.501588884084244
"108","F","Shoulder",100,1,"Norm_B_Moment",1874.52319169404,1,2998,0.384507803859763,2.41712663324283,1.11876993289394,0.0258401706344029,43.295764131079,1.57826306170111e-318
"109","F","Wrist",120,-1,"Norm_RE_Moment",1370.10308382814,1,2998,0.313431953768884,1.74391679995816,0.690078277659349,0.0186432547899502,37.0149035366583,2.43515960933353e-247
"110","F","Wrist",120,-1,"Norm_RS_Moment",50.9101745210808,1,2998,0.0163698409150151,5.50349205286243,0.419794370248871,0.0588348048361263,7.13513661544612,1.20733263916562e-12
"111","F","Wrist",120,-1,"Norm_B_Moment",617.86196461193,1,2998,0.17059886982664,6.90883361538252,-1.83588907623293,0.0738585380885369,-24.8568293354546,3.60999976395016e-124
"112","F","Wrist",120,1,"Norm_RE_Moment",1302.88281106057,1,2998,0.302701298373562,1.405822197988,0.542474149113499,0.015028871461693,36.0954680127652,3.09197956142283e-237
